City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
272,nouakchott,0,MR,1525555936,98,18.08,-15.98,66.32,20.38
273,skowhegan,75,US,1525553760,28,44.77,-69.72,71.6,13.87
274,lima,0,PE,1525555733,69,-12.06,-77.04,68.48,2.59
275,bulungu,56,CD,1525555937,89,-4.54,18.6,75.05,2.82
276,sibolga,76,ID,1525555937,100,1.74,98.78,70.37,1.97
277,talnakh,0,RU,1525555937,53,69.49,88.39,-4.51,3.83
278,kaitangata,8,NZ,1525555937,76,-46.28,169.85,48.32,14.45
279,cabedelo,90,BR,1525554000,88,-6.97,-34.84,75.2,12.75
280,buchanan,40,LR,1525555800,88,5.88,-10.05,80.6,7.63
281,lakatoro,68,VU,1525555938,100,-16.11,167.42,73.97,8.86
282,lolodorf,92,CM,1525555939,99,3.23,10.73,69.83,2.75
283,springbok,0,ZA,1525555939,47,-29.67,17.88,52.82,2.59
284,guerrero negro,0,MX,1525555939,37,27.97,-114.04,80.54,8.79
285,flinders,0,AU,1525555939,100,-34.58,150.85,48.68,4.05
286,margate,75,AU,1525554000,54,-43.03,147.26,55.4,8.05
287,agadez,0,NE,1525555909,17,16.97,7.99,80.45,7.52
288,bahia blanca,0,AR,1525555940,64,-38.72,-62.27,62.18,9.13
289,yacuiba,90,AR,1525554000,94,-22.01,-63.68,69.8,9.17
290,esperance,40,TT,1525550400,70,10.24,-61.45,84.2,19.46
291,nikolskoye,40,RU,1525554000,86,59.7,30.79,39.2,2.24
292,liwale,88,TZ,1525555941,66,-9.8,37.92,74.15,3.38
293,impfondo,48,CD,1525555941,93,1.62,18.06,75.14,3.31
294,los llanos de aridane,40,ES,1525554000,63,28.66,-17.92,64.4,5.82
295,hailar,92,CN,1525555942,85,49.2,119.7,37.25,16.28
296,champerico,75,MX,1525552800,43,16.38,-93.6,89.6,17.22
297,grand gaube,40,MU,1525554000,73,-20.01,57.66,73.4,6.93
298,yudong,90,KR,1525550400,93,35.16,126.9,60.8,16.11
299,bonthe,88,SL,1525555943,87,7.53,-12.5,80.72,3.76
300,rawson,24,AR,1525555943,51,-43.3,-65.11,60.74,15.05
301,souillac,0,FR,1525554000,60,45.6,-0.6,69.8,4.7
302,lompoc,1,US,1525553880,68,34.64,-120.46,75.2,16.11
303,haines junction,0,CA,1525555944,49,60.75,-137.51,43.64,9.01
304,iquitos,75,PE,1525554000,83,-3.75,-73.25,78.8,3.36
305,baoqing,32,CN,1525555944,63,46.32,132.2,43.46,5.06
306,fortuna,0,ES,1525554000,77,38.18,-1.13,62.6,2.24
307,lhokseumawe,8,ID,1525555945,100,5.18,97.15,83.24,3.98
308,havre-saint-pierre,75,CA,1525551420,93,50.23,-63.6,39.2,20.8
309,mount gambier,92,AU,1525555945,83,-37.83,140.78,58.04,4.32
310,sembakung,64,ID,1525555946,99,3.82,117.25,75.14,2.59
311,olinda,20,EC,1525550400,55,-2.03,-79.75,89.6,8.05
312,longyearbyen,40,NO,1525553400,64,78.22,15.63,37.4,9.17
313,shatki,24,RU,1525555946,47,55.19,44.12,55.97,10.92
314,arenillas,40,EC,1525554000,69,-3.56,-80.07,82.4,10.29
315,sao jose do belmonte,44,BR,1525555947,50,-7.86,-38.76,82.79,14.05
316,east wenatchee bench,40,US,1525553700,42,47.43,-120.28,71.6,3.49
317,rapid valley,90,US,1525554900,51,44.06,-103.15,71.6,5.39
318,samarai,92,PG,1525555948,100,-10.62,150.67,75.95,11.14
319,hamilton,90,CA,1525552980,55,43.26,-79.87,73.4,17.22
320,kyren,0,RU,1525555969,77,51.68,102.13,31.22,3.87
321,hualmay,0,PE,1525555949,79,-11.1,-77.61,72.17,4.88
322,saryozek,0,KZ,1525555950,79,44.36,77.98,41.03,3.53
323,brigantine,75,US,1525554000,48,39.41,-74.36,71.6,9.17
324,bocanda,32,CI,1525555950,74,7.06,-4.5,81.17,8.23
325,omsukchan,32,RU,1525555950,95,62.53,155.8,32.12,3.27
326,churapcha,0,RU,1525555950,53,62.0,132.43,47.96,8.52
327,cardston,75,CA,1525554840,32,49.2,-113.32,69.8,8.05
328,lorengau,92,PG,1525555951,100,-2.02,147.27,80.54,3.76
329,saint-philippe,1,CA,1525554900,28,45.36,-73.48,71.6,6.93
